SKU,Barcode,Slug,Title,Status,Product Description,Stock Status,Quantity,Collections,Category,Sub Category,Settings/Size,Featured,Backorders allowed,Sold Individually,HUID,Min shipping days,Max shipping days,Metal Type,Metal Color,Gold Purity,Gold Gross,Gold Net,Silver Purity,Silver Gross,Silver Net,Platinum Purity,Platinum Gross,Platinum Net,Diamond From,Diamond Weight,Diamond Pieces,Diamond Type,Diamond Quality,Diamond Shapes,Diamond Cut,Custom Diamond Rate,Diamond Certified,Diamond Lab,Diamond Certificate ID,Gemstone From,Gemstone Quality,Gemstone Shape,Gemstone Type,Gemstone Size,Gemstone Pieces,Gemstone Weight,Custom Gemstone Rate,Gemstone Color,No. of Lines,Length,Closure Type,Pearl Type,Pearl Setting Type,Pearl Size,Pearl Pieces,Pearl Weight,Labour Type,Labour From,Per Gram,Wastage From,Wastage in (%),Minimum Making,Extra Charge Type,Extra Charge Value,SEO Title,SEO Description,SEO Keywords,Width (in mm),Height (in mm),Thickness (in mm),Tags,Gender,Ocassions,Manual Product Price (MRP),Sale Price,Automatic Price,Disable Customization,Upsell,Cross Sell,Images,Images Links,Video URL,Product Link,Rings Size,Bangles and Bracelet Size,Product Length
123,,,test meet,draft,,onbackorder,,Gold Jewellery,Ladies Ring,,,,,,,5,10,gold,yellow,22KT,,,995,,,,,,master,,,,,,,,no,GIA,,master,,,,,,,,,,,,,,,,,master,gross,399,gross,10,,,,,,,,,,,Unisex,,,,514,no,,,,,https://tiarabytj.com/wp-content/uploads/sites/27/2024/12/DSC_0035.png,,,,
abcd,,light-weight-diamond-earring-22kt,Light Weight Diamond Earring 22KT,publish,"<p>Kundan Earrings for special occasion.</p>
",onbackorder,,Gold Jewellery,Earrings,Kundan jewellery,,,,,,5,10,gold,yellow,22KT,3,2.54,995,,,,,,master,,,,,,,,no,GIA,,master,Kundan,Round,Sapphire,8 x 5,41,2.3,23000,red,1,2,spring,,,,,,master,gross,399,gross,10,,,,,,,,,,,Unisex,,,,77385,no,,,kundan-earring-scaled,https://tiarabytj.com/wp-content/uploads/sites/27/2024/06/kundan-earring-scaled.jpeg,,https://tiarabytj.com/product/light-weight-diamond-earring-22kt/,,,
De7570,,diamond-engagement-ring-22kt,Diamond Engagement Ring 22KT,publish,"<p>Smart, Elegant Engagement Ring</p>
",onbackorder,,Diamond Jewellery,Ladies Ring,Ring,,,,,,5,10,gold,yellow,22KT,2.5,2.4,995,,,,,,master,0.50,41,Natural,VS2-DE,Princess,Excellent,40000,no,GIA,,master,,,,,,,,,,,,,,,,,master,gross,399,gross,10,,certificate,999,,,,,,,,"Female,Unisex","All Ocassions,Anniversary",,,41404,no,,,ERG-1706,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/ERG-1706.jpg,,https://tiarabytj.com/product/diamond-engagement-ring-22kt/,,,
RG22/8,,,Test,draft,,onbackorder,,Gold Jewellery,Uncategorized,,,,,,,5,10,gold,rose,22KT,,,995,,,,,,master,,,,,,,,no,GIA,,master,,,,,,,,,,,,,,,,,master,gross,399,gross,10,,,,,,,,,,4 Diamond,Unisex,"All Ocassions,Anniversary",,,514,no,,,,,,,,,
DK92,,gold-earring-dk92,Gold Earring - DK92,publish,,onbackorder,,Gold Jewellery,Earrings,Earring,,,,,,5,10,gold,yellow,22KT,2.1,2.1,995,,,,,,master,,,,,,,,no,GIA,,master,,,,,,,,,,,,,,,,,master,gross,399,gross,10,499,hallmark,999,,,,0.15 Inches,0.11 Inches,12,"Heart,test123","Female,Unisex",Anniversary,1200,,1200,no,,,,,,https://tiarabytj.com/product/gold-earring-dk92/,,,
RG22/93,,ladies-ring-22,LADIES RING 22,publish,,onbackorder,,Diamond Jewellery,"Earrings,Ladies Ring",New Arrival Rings,,,,,,5,10,gold,yellow,22KT,,,995,,,,,,master,0.150,0.0046,Natural,VS2-BLACK,Pear,,,no,GIA,,master,,,,,,,,,2,,,,,,,,master,gross,399,gross,10,,,,,,,32,234,334,,"Female,Unisex",,36764,,36764,no,,,Diamond-web-611x383-1,https://tiarabytj.com/wp-content/uploads/sites/27/2024/08/Diamond-web-611x383-1.jpg,,https://tiarabytj.com/product/ladies-ring-22/,,,
SJPEP-115999,,sjpep-1159-2,SJPEP-1159,publish,,outofstock,,Diamond Jewellery,BANGLE,,,true,,,,5,10,gold,yellow,22KT,1.54,1.5,,,,,,,individual,0.200,7,Natural,VS2-DE,Round,Good,78900,no,,,master,,,,,,,,,,,,,,,,,master,gross,399,gross,10,,,,,,,0,0,0,,Female,,52000,,52000,no,,,SJPEP-1159-1,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/SJPEP-1159-1.jpg,,https://tiarabytj.com/product/sjpep-1159-2/,,,
SJPEP-1159,,sjpep-1159,SJPEP-1159,publish,,outofstock,,Diamond Jewellery,"BANGLE,Bangles,Necklaces",,,true,,,,5,10,gold,yellow,22KT,1.54,1.5,,,,,,,individual,0.200,7,Natural,VS2-DE,Round,Good,78900,no,,,master,,,,,,,,,,,,,,,,,master,gross,399,gross,10,,,,,,,0,0,0,,Female,,,26473,26473,no,,,SJPEP-1159-1,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/SJPEP-1159-1.jpg,,https://tiarabytj.com/product/sjpep-1159/,,,
SJPEP-1166,,sjpep-1166,SJPEP-1166,draft,,outofstock,,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,3.03,3,,,,,,,individual,0.150,6,Natural,VS2-DE,Round,Good,78900,no,,,master,,,,,,,,,,,,,,,,,master,gross,399,gross,10,,,,,,,0,0,0,,,,,,37662,,,,SJPEP-1166-1,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/SJPEP-1166-1.jpg,,,,,
SJPEP-1142,,sjpep-1142,SJPEP-1142,publish,,outofstock,-2,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,2.032,2,,,,,,,customize,0.160,5,Natural,VS2-DE,Round,Good,78900,no,,,master,,,,,,,,,,,,,,,,,master,gross,399,,10,,,,,,,0,0,0,,,,,,29209,,,,SJPEP-1142-1,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/SJPEP-1142-1.jpg,,https://tiarabytj.com/product/sjpep-1142/,,,
